"Index","Sentence"
55,"अफजलखानाच्या कपटाचा प्रत्युत्तर म्हणून शिवाजी महाराजांनी त्याला ठार केले."
56,"अकबराच्या दरबारातील नौशेरवानी नृत्याचे वर्णन इतिहासकारांनी केले आहे."
57,"पन्हाळगडाच्या युद्धात महाराजांच्या रणनीतीने शत्रूंची पराभवाची शक्यता वाढली."
58,"तानाजी मालुसरे यांच्या बलिदानाने सिंहगडाच्या विजयाला गती दिली."
59,"बाजीराव पेशव्यांच्या असाधारण युद्धकौशल्यामुळे मराठ्यांची कीर्ती वाढली."
60,"वास्को-द-गामा भारतात पोहोचल्यामुळे नवीन व्यापार मार्गाची उभारणी झाली."
61,"पृथ्वीराज चौहानाच्या शौर्याने दिल्लीच्या सुलतानाला पराभूत केले."
62,"औरंगजेबाच्या धार्मिक कट्टरतेमुळे मुघल साम्राज्याची अधोगती झाली."
63,"हिरकणीच्या धाडसाने रायगड किल्ल्यावर इतिहासातील एक अनोखा प्रसंग घडविला."
64,"अशोकाच्या राज्याभिषेकानंतर बौद्ध धर्माच्या प्रसारासाठी जगभरात चळवळ सुरू झाली."
65,"महाराणा प्रतापांच्या मेवाडमधील संघर्षाने राजपुतांची गौरवशाली परंपरा उभी ठेवली."
66,"शिवाजी महाराजांच्या गनिमी काव्याने शत्रूंच्या छावण्यांवर धाडसी हल्ले केले."
67,"महाराणी लक्ष्मीबाईंच्या पराक्रमाची गाथा आजही प्रेरणादायी आहे."
68,"तुकारामांच्या अभंगांनी भक्तिमार्गाच्या चळवळीला नवी दिशा दिली."
69,"बाजीराव-२ यांची नेपाळमधील युद्धातील पराभवामुळे पेशवाईचा अंत झाला."
70,"शिवाजी महाराजांच्या आश्वासनाने गडांच्या बांधकामास गती मिळाली."
71,"विजयनगर साम्राज्याच्या पतनानंतर दक्षिण भारतातील राजकीय स्थैर्य ढळले."
72,"सुभेदार तानाजी मालुसरे यांचे धैर्य सिंहगडाच्या लढाईत अमर झाले."
73,"मराठ्यांच्या शौर्याच्या गाथा अजूनही इतिहासात अजरामर आहेत."
74,"चंद्रगुप्त मौर्याच्या नेतृत्वाखाली भारतीय उपखंडात विशाल साम्राज्य उभारले गेले."
75,"सरदार वल्लभभाई पटेलांच्या कर्तृत्वामुळे भारताचे ऐक्य दृढ झाले."
76,"अकबराच्या सहिष्णुतेच्या धोरणाने विविध धर्मांच्या अनुयायांचा विश्वास जिंकला."
77,"पृथ्वीराज चौहानांच्या कैदीनंतर दिल्लीवर मुघलांचा अंमल सुरू झाला."
78,"बौद्धधर्माच्या प्रचारासाठी अशोकाने धम्मयात्रा आयोजित केल्या."
79,"मराठ्यांच्या नौदलाच्या स्थापनेने समुद्रातील व्यापारावर प्रभुत्व मिळवले."
80,"ताजमहलाच्या बांधकामासाठी शहाजहानाने अवाढव्य संपत्ती खर्च केली."
81,"शिवाजी महाराजांच्या चपळाईने अफजलखानाचा कट विफल झाला."
82,"पानिपतच्या तिसऱ्या युद्धात मराठ्यांच्या पराभवामुळे मराठा साम्राज्याचे अस्तित्व धोक्यात आले."
83,"महात्मा गांधींच्या असहकार आंदोलनाने भारतीय स्वातंत्र्यलढ्याला नवे वळण मिळाले."
84,"दक्षिणेत विजयनगरच्या काळात धार्मिक आणि सांस्कृतिक समृद्धीची चळवळ सुरू झाली."
85,"शिवाजी महाराजांच्या राज्याभिषेकाने मराठा साम्राज्याला औपचारिक मान्यता मिळाली."
86,"खानदेशातील अकबरच्या स्वारीने मुघलांची सत्ता दक्षिण भारतात विस्तारित केली."
87,"सवाई माधवरावांच्या राज्यात पुण्याचे सांस्कृतिक पुनरुत्थान घडले."
88,"मुघल साम्राज्याच्या विघटनानंतर भारतातील स्थानिक राजे स्वायत्त झाले."
89,"पेशव्यांच्या काळातील मराठा राज्यशासनाची व्यवस्था अत्यंत कौशल्यपूर्ण होती."
90,"शिवाजी महाराजांच्या समुद्री दलाने पोर्तुगीजांना कोकणातून हाकलले."
91,"राजा राममोहन रॉय यांच्या समाजसुधारणांच्या चळवळीने आधुनिक भारताच्या विकासाला चालना दिली."
92,"मराठ्यांच्या विजयाने भारतीय उपखंडातील राजकीय समीकरणे बदलली."
93,"शिवाजी महाराजांच्या स्वराज्याच्या स्वप्नाने महाराष्ट्राच्या जनतेला एक नवे ध्येय दिले."
94,"मराठ्यांच्या जलद व गनिमी हल्ल्यांनी शत्रूंची छावणी पूर्णपणे उद्ध्वस्त केली."
